estado,lat,lon,poblacion,region
Aguascalientes,21.8853,-102.2916,1434639,Centro-Norte
Baja California,32.6246,-115.4523,3769020,Noroeste
Baja California Sur,24.1444,-110.3005,798447,Noroeste
Campeche,19.8301,-90.5349,928363,Sur-Sureste
Chiapas,16.7569,-93.1292,5543828,Sur-Sureste
Chihuahua,28.6330,-106.0691,3801487,Noroeste
Ciudad de México,19.4326,-99.1332,9209944,Centro
Coahuila,25.4380,-100.9770,3146771,Noroeste
Colima,19.2452,-103.7250,731391,Centro
Durango,24.0277,-104.6532,1832650,Noroeste
Estado de México,19.4969,-99.7233,17427790,Centro
Guanajuato,21.0190,-101.2574,6183976,Centro-Norte
Guerrero,17.4392,-99.5451,3533251,Sur-Sureste
Hidalgo,20.1011,-98.7624,3082841,Centro
Jalisco,20.6597,-103.3496,8348193,Centro-Norte
Michoacán,19.7059,-101.1950,4828681,Centro-Norte
Morelos,18.6813,-99.1013,1971520,Centro
Nayarit,21.7514,-104.8455,1282146,Centro-Norte
Nuevo León,25.6866,-100.3161,5557720,Noreste
Oaxaca,17.0732,-96.7266,4132148,Sur-Sureste
Puebla,19.0413,-98.2062,6583278,Centro
Querétaro,20.5888,-100.3899,2279632,Centro-Norte
Quintana Roo,19.1817,-88.4791,1857985,Sur-Sureste
San Luis Potosí,22.1566,-100.9855,2822235,Centro-Norte
Sinaloa,24.8041,-107.4937,3078762,Noroeste
Sonora,29.0729,-110.9559,2944842,Noroeste
Tabasco,17.8409,-92.6189,2395272,Sur-Sureste
Tamaulipas,24.2669,-98.8363,3650601,Noreste
Tlaxcala,19.3182,-98.2370,1342977,Centro
Veracruz,19.1738,-96.1342,8112505,Sur-Sureste
Yucatán,20.7099,-89.0943,2320894,Sur-Sureste
Zacatecas,22.7709,-102.5832,1622138,Centro-Norte
